Ge,72.64,22.6609763823586,32.0,14.0,6.70264987630741,0.337674655,4.38004256,0.0,-4.185,18.82,3093.0,120.0,5323.0,7.89943,0.383,7.16661498670743,-4.616039545,3.583307493,4.514684539,0.0,23.005,0.32,23.222,22.23,0,0,0,1,0,0,79,0,10,0,0,4,2,0,2,4,14,5.84,4,225,0,0,0,0,0,1,0,1,0,0,0,0.0
As,74.9216,21.723965737178,33.0,15.0,6.72513024719756,0.435925125,6.47464548,0.0,-3.165,19.01,887.0,119.0,5727.0,9.7886,0.0,7.07936879261063,-4.650889115,3.539684396,4.459722881,0.0,22.175,0.329,24.64,21.52,0,0,0,1,1,0,84,0,10,0,0,3,3,0,2,3,15,4.31,4,166,0,1,0,0,0,0,1,0,1,0,0,0.0
Se,78.96,27.2088046258276,34.0,16.0,6.85922886270818,0.5700508,5.61176057,0.0,-5.75,20.17,958.0,120.0,4819.0,9.75239,0.799,7.45735801428926,-3.47079191,3.728679007,4.697841169,0.0,25.92,0.321,25.363,29.81,0,0,0,0,0,1,89,0,10,0,0,2,4,0,2,2,16,3.77,4,14,0,0,1,0,0,0,0,1,0,1,0,0.0
Br,79.904,42.5278253242385,35.0,17.0,7.42267212675669,0.5843935475,2.00721501,0.0,-3.92,25.56,332.0,120.0,3120.0,11.8138,1.457,7.78423288755642,-1.5830253375,3.892116444,4.903759436,0.0,29.48,0.474,75.69,65.14,0,0,0,0,0,1,95,0,10,0,0,1,5,0,2,1,17,3.05,4,64,0,0,0,1,1,0,0,0,1,0,0,0.0
Kr,83.798,37107.4947415034,36.0,18.0,9.70328297844739,-1.06781967,1.049049325,0.0,21.04,57.1,119.78,116.0,3.75,13.99961,7.535,8.32495513507371,0.08753524,4.162477568,5.244393107,0.0,36.06,0.248,20.786,44.81,0,0,0,0,0,1,101,0,10,0,0,0,6,0,2,0,18,2.4844,4,225,0,0,0,0,0,0,0,0,0,0,0,3.0
Rb,85.4678,92.6409518449757,37.0,1.0,11.2352630081626,0.00139795500000006,0.09088364,0.0,-2.0825,88.64,961.0,220.0,1532.0,4.177128,0.0,11.3225695574035,-0.963335025,5.661284779,7.132771862,0.0,90.7225,0.363,31.06,93.09,1,0,0,0,1,0,4,0,0,0,0,0,0,1,1,1,1,47.27,5,229,0,0,0,0,1,0,0,0,0,0,0,0.0
Sr,87.62,55.3231307765064,38.0,2.0,9.45988625983837,0.00487368999999993,1.71056951,0.0,-1.32,52.91,1655.0,195.0,2630.0,5.69485,0.0,9.53790946403164,-1.6828136,4.768954732,6.008506453,0.0,54.23,0.306,26.79,56.08,1,0,0,0,1,0,8,0,0,0,0,0,0,0,2,0,2,25.55,5,225,0,0,0,0,0,1,0,0,0,0,0,0.0
Y,88.90585,33.0132128825196,39.0,3.0,8.04392504902196,0.124302255,3.23208944,0.0,0.164999999999999,32.53,3618.0,190.0,4472.0,6.2173,0.0,8.03030174726957,-6.464599775,4.015150874,5.058773104,0.0,32.365,0.298,26.53,32.97,0,1,0,0,1,0,12,9,1,0,0,0,0,0,2,9,3,22.7,5,194,0,0,0,0,0,0,1,0,0,0,0,0.0
Zr,91.224,23.2659432691915,40.0,4.0,7.14003698192156,0.0786836849999997,4.22805065,0.0,-0.445,22.75,4682.0,175.0,6511.0,6.6339,0.0,7.18629078586301,-8.545958555,3.593145393,4.527079516,0.0,23.195,0.278,25.36,23.29,0,1,0,0,1,0,44,8,2,0,0,0,0,0,2,8,4,17.9,5,194,0,0,0,0,0,0,0,1,0,0,0,0.0
Nb,92.90638,18.0021329803168,41.0,5.0,6.62579437490161,0.0,4.90182207,0.0,0.0,18.18,5017.0,164.0,8570.0,6.75885,0.0,6.62579437490161,-10.09332153,3.312897187,4.173988903,0.0,18.18,0.265,24.6,18.15,0,1,0,0,1,0,47,6,4,0,0,0,0,1,1,7,5,15.7,5,229,0,0,0,0,0,0,1,0,1,0,0,0.0
